RESMODE,HHL,LNGI,rate,se,YEAR
1,1,1,0.027015443,7.52E-05,2006
2,1,1,0.043119901,0.00016989,2006
1,2,1,0.032909125,0.000263446,2006
2,2,1,0.039803255,0.000324412,2006
1,3,1,0.028326459,0.000282116,2006
2,3,1,0.04427602,0.000824519,2006
1,4,1,0.035983062,0.00050395,2006
2,4,1,0.04634647,0.00103657,2006
1,5,1,0.034135442,0.001078934,2006
2,5,1,0.04687999,0.001420527,2006
1,2,2,0.047329757,0.000975663,2006
2,2,2,0.038717246,0.000361914,2006
1,3,2,0.038963242,0.00112924,2006
2,3,2,0.04542981,0.001600766,2006
1,4,2,0.048650418,0.001119562,2006
2,4,2,0.043873342,0.001311734,2006
1,5,2,0.042782257,0.002859111,2006
2,5,2,0.047763107,0.002637107,2006
1,1,1,0.026095943,6.88E-05,2007
2,1,1,0.043643428,0.00015578,2007
1,2,1,0.032163988,0.000286764,2007
2,2,1,0.040202024,0.000348442,2007
1,3,1,0.027969671,0.0003,2007
2,3,1,0.04465971,0.000838677,2007
1,4,1,0.035424567,0.000496406,2007
2,4,1,0.04737787,0.001210017,2007
1,5,1,0.03301718,0.000993903,2007
2,5,1,0.045753635,0.001209441,2007
1,2,2,0.045978193,0.000811589,2007
2,2,2,0.039548335,0.000480912,2007
1,3,2,0.036944529,0.000851853,2007
2,3,2,0.042997987,0.001419137,2007
1,4,2,0.0471368,0.001018232,2007
2,4,2,0.043881832,0.001368383,2007
1,5,2,0.04767467,0.003315786,2007
2,5,2,0.043508961,0.002634383,2007
1,1,1,0.029485868,7.04E-05,2008
2,1,1,0.036359754,0.000171143,2008
1,2,1,0.034506035,0.000290336,2008
2,2,1,0.033031198,0.000344414,2008
1,3,1,0.031239879,0.000398658,2008
2,3,1,0.036118285,0.000588063,2008
1,4,1,0.03073519,0.000449243,2008
2,4,1,0.036969135,0.000943493,2008
1,5,1,0.035636357,0.001175116,2008
2,5,1,0.039755657,0.001392602,2008
1,2,2,0.050098491,0.00130674,2008
2,2,2,0.031663509,0.000399618,2008
1,3,2,0.042166257,0.001080183,2008
2,3,2,0.036357633,0.00119574,2008
1,4,2,0.039750203,0.000973278,2008
2,4,2,0.037001588,0.001292667,2008
1,5,2,0.046982335,0.005099857,2008
2,5,2,0.035363128,0.00187655,2008
1,1,1,0.025518399,6.76E-05,2009
2,1,1,0.035841021,0.000146917,2009
1,2,1,0.029156725,0.000322215,2009
2,2,1,0.032826298,0.000325995,2009
1,3,1,0.025786019,0.000321397,2009
2,3,1,0.035543047,0.000726192,2009
1,4,1,0.025322158,0.000466639,2009
2,4,1,0.036357804,0.000943187,2009
1,5,1,0.02916852,0.001066531,2009
2,5,1,0.03523212,0.001281869,2009
1,2,2,0.04374515,0.001222734,2009
2,2,2,0.029306792,0.000354017,2009
1,3,2,0.033689089,0.001222906,2009
2,3,2,0.034449677,0.001036584,2009
1,4,2,0.032475893,0.000838995,2009
2,4,2,0.03402143,0.001019192,2009
1,5,2,0.03915556,0.003780795,2009
2,5,2,0.036936112,0.001915983,2009
1,1,1,0.030602663,7.89E-05,2010
2,1,1,0.042115755,0.000173532,2010
1,2,1,0.037347659,0.000437736,2010
2,2,1,0.034416645,0.000310825,2010
